gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,77.80000305175781,100.08343505859375,22.283432006835938,62.65508563755789,-15.144917414199924,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,121.0999984741211,178.32861328125,57.228614807128906,95.4157355200471,-25.684262954074,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,73.80000305175781,101.93114471435547,28.131141662597656,133.24203415123316,59.442031099475344,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,83.0,145.31564331054688,62.315643310546875,138.7854655868782,55.78546558687819,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,183.8000030517578,162.0624542236328,-21.737548828125,86.75452804112726,-97.04547501063055,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,134.89999389648438,132.32008361816406,-2.5799102783203125,133.9976820595255,-0.9023118369588872,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,74.9000015258789,107.26888275146484,32.36888122558594,85.82899280518426,10.92899127930535,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,153.1999969482422,115.03974151611328,-38.160255432128906,132.5118824896602,-20.688114458581992,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,90.5999984741211,78.23748016357422,-12.362518310546875,66.40853341708441,-24.19146505703668,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,56.5,60.979881286621094,4.479881286621094,59.084150481075,2.5841504810749996,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,108.5,94.53736114501953,-13.962638854980469,86.8446277932027,-21.655372206797296,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,124.69999694824219,122.56617736816406,-2.133819580078125,122.50590056580691,-2.1940963824352764,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,69.5999984741211,134.70201110839844,65.10201263427734,73.40662747293064,3.8066289988095434,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,82.0,93.8160171508789,11.816017150878906,93.36139843334814,11.361398433348143,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,124.9000015258789,101.00667572021484,-23.893325805664062,124.98105872250848,0.08105719662957256,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,120.4000015258789,127.72054290771484,7.3205413818359375,135.31713971291902,14.91713818704011,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,93.30000305175781,118.44822692871094,25.148223876953125,153.02945978069874,59.72945672894093,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,132.89999389648438,192.1452178955078,59.24522399902344,114.51041174707409,-18.389582149410288,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,108.5,86.72684478759766,-21.773155212402344,76.8318926206813,-31.6681073793187,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,122.30000305175781,96.11473846435547,-26.185264587402344,131.69202783833072,9.392024786572904,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,130.5,64.34406280517578,-66.15593719482422,114.51531106018119,-15.98468893981881,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,55.599998474121094,94.6324234008789,39.03242492675781,66.44778155841875,10.84778308429766,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,140.3000030517578,144.83094787597656,4.53094482421875,133.91900576979245,-6.380997281965364,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,91.9000015258789,131.1006622314453,39.200660705566406,101.5552090526403,9.655207526761387,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,109.9000015258789,120.13158416748047,10.231582641601562,126.33995977702973,16.439958251150827,11.3991771274633,18.86,324465.15625,227710.28125
