year,month,stations,gridpp_mae,gridpp_rmse,gridpp_bias,uk_mae,uk_rmse,uk_bias,out_dir
2025,1,25,23.536,27.668,2.357,17.937,22.811,0.577,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_01
2025,2,25,5.720,7.713,1.411,3.751,5.242,-0.141,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_02
2025,3,25,6.328,7.654,1.417,6.341,7.910,-0.216,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_03
2025,4,25,10.760,14.936,0.412,10.128,13.948,0.551,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_04
2025,5,25,20.094,26.208,4.765,17.206,23.373,0.610,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_05
2025,6,24,14.541,19.068,1.924,12.225,15.289,0.480,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_06
2025,7,25,27.890,34.444,9.585,21.796,31.437,-0.598,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_07
2025,8,25,20.542,24.972,4.827,29.666,35.056,-0.639,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_08
2025,9,25,11.862,15.438,1.433,12.980,15.530,-0.207,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_09
2025,10,25,10.912,14.072,-0.207,11.737,15.069,-0.414,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_10
2025,11,25,9.175,13.157,0.299,13.405,17.557,0.068,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_11
2025,12,25,8.569,10.832,1.162,7.308,9.251,0.214,/home/denissbokadenissboka/projects/gridpp_lab/gridpp_precip/out_2025_html_compare_eps1_L40000_p0_r0_ukR40000/2025_12
