gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,49.400001525878906,48.67024612426758,-0.7297554016113281,30.61276046750317,-18.787241058375738,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,84.4000015258789,95.81611633300781,11.416114807128906,110.9381660531654,26.538164527286497,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,72.5999984741211,60.312355041503906,-12.287643432617188,103.22256639921294,30.622567925091843,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,123.0,151.31561279296875,28.31561279296875,157.41680754532607,34.416807545326066,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,141.5,150.72622680664062,9.226226806640625,105.68372905641229,-35.81627094358771,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,92.69999694824219,68.66973876953125,-24.030258178710938,92.230213400095,-0.46978354814719125,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,105.9000015258789,70.23011016845703,-35.669891357421875,84.7545573356125,-21.145444190266403,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,107.0,132.2887725830078,25.288772583007812,137.58513420522476,30.58513420522476,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,64.69999694824219,83.8714828491211,19.171485900878906,96.11800142528578,31.418004477043596,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,24.799999237060547,39.10618591308594,14.30618667602539,28.600000381469727,3.8000011444091797,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,40.0,44.26905822753906,4.2690582275390625,31.72255833787428,-8.277441662125721,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,194.3000030517578,127.78573608398438,-66.51426696777344,120.74504846646114,-73.55495458529667,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,74.30000305175781,67.78350830078125,-6.5164947509765625,59.64163141398453,-14.658371637773286,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,39.20000076293945,43.820884704589844,4.620883941650391,45.88037170019307,6.68037093725362,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,94.9000015258789,71.55779266357422,-23.342208862304688,104.28031759509503,9.380316069216121,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,147.5,147.54698181152344,0.0469818115234375,147.11495881259168,-0.3850411874083193,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,53.5,83.65563201904297,30.15563201904297,59.77143103419113,6.2714310341911315,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,73.9000015258789,86.4580307006836,12.558029174804688,76.71758371247684,2.8175821865979316,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,71.30000305175781,108.68509674072266,37.385093688964844,85.93977268286196,14.639769631104144,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,123.5999984741211,106.4070053100586,-17.1929931640625,120.09451597725815,-3.505482496862939,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,64.5,59.176177978515625,-5.323822021484375,76.04027048441203,11.540270484412034,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,28.600000381469727,36.60834884643555,8.00834846496582,34.589342265275675,5.989341883805949,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,127.80000305175781,181.65553283691406,53.85552978515625,135.79693888442944,7.996935832671625,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,120.19999694824219,165.99598693847656,45.795989990234375,103.75012760272197,-16.449869345520213,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,39.20000076293945,45.51710510253906,6.317104339599609,24.799999237060547,-14.400001525878906,11.3991771274633,18.86,324465.15625,227710.28125
