gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,55.5,75.90668487548828,20.40668487548828,80.4870379642784,24.9870379642784,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,88.0,134.10202026367188,46.102020263671875,86.6267575680032,-1.3732424319968004,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,54.5,58.15941619873047,3.6594161987304688,59.32590551753065,4.82590551753065,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,57.5,53.20539093017578,-4.294609069824219,36.996378576194864,-20.503621423805136,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,44.70000076293945,58.59941482543945,13.8994140625,25.200000762939453,-19.5,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,25.200000762939453,46.310916900634766,21.110916137695312,77.30138276808205,52.1013820051426,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,130.60000610351562,113.65213775634766,-16.94786834716797,76.48695879189835,-54.11304731161728,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,130.6999969482422,68.111328125,-62.58866882324219,71.67759567710384,-59.02240127113835,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,51.599998474121094,49.311031341552734,-2.2889671325683594,85.33110653163152,33.731108057510426,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,61.599998474121094,91.7376937866211,30.1376953125,65.23824299906993,3.6382445249488313,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,61.79999923706055,78.96075439453125,17.160755157470703,96.96217446304446,35.162175225983916,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,59.599998474121094,51.07222366333008,-8.527774810791016,81.20063072168914,21.600632247568043,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,78.5,93.96851348876953,15.468513488769531,83.16568444939065,4.665684449390653,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,59.400001525878906,77.2841567993164,17.8841552734375,98.30739413901544,38.90739261313654,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,86.0,56.02499771118164,-29.97500228881836,70.83128225562423,-15.168717744375769,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,52.20000076293945,69.36592102050781,17.16592025756836,84.45316197943819,32.25316121649874,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,47.900001525878906,83.44324493408203,35.543243408203125,92.04824532220434,44.14824379632543,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,72.5,57.131893157958984,-15.368106842041016,37.6086728108788,-34.8913271891212,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,131.60000610351562,142.99244689941406,11.392440795898438,81.91807196895748,-49.68193413455815,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,75.0,60.437034606933594,-14.562965393066406,67.61372462488389,-7.386275375116114,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,86.19999694824219,70.64513397216797,-15.554862976074219,54.17241372904008,-32.02758321920211,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,85.80000305175781,84.45919036865234,-1.3408126831054688,74.15205110851758,-11.64795194324023,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,36.0,58.214141845703125,22.214141845703125,69.84168657820923,33.841686578209234,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,49.79999923706055,94.33368682861328,44.533687591552734,82.77715186627537,32.97715262921483,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,98.69999694824219,75.77803039550781,-22.921966552734375,25.200000762939453,-73.49999618530273,11.3991771274633,18.86,324465.15625,227710.28125
