gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,42.900001525878906,39.17623519897461,-3.723766326904297,48.07170486259787,5.171703336718963,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,40.099998474121094,34.37089157104492,-5.729106903076172,42.05295286937518,1.952954395254089,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,69.0,40.57444381713867,-28.425556182861328,47.7549035368391,-21.2450964631609,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,19.299999237060547,27.02140235900879,7.721403121948242,11.748966884901305,-7.5510323521592415,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,20.0,22.41395378112793,2.4139537811279297,35.79853492107014,15.798534921070143,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,41.5,23.813505172729492,-17.686494827270508,52.26831564463503,10.768315644635031,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,48.099998474121094,33.834529876708984,-14.26546859741211,50.99285941682771,2.892860942706619,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,32.099998474121094,40.641357421875,8.541358947753906,46.862403020209605,14.762404546088511,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,44.20000076293945,55.462154388427734,11.262153625488281,54.72320642486679,10.523205661927335,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,32.400001525878906,30.464080810546875,-1.9359207153320312,31.738582967912393,-0.6614185579665133,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,8.600000381469727,9.64450454711914,1.044504165649414,8.699999809265137,0.09999942779541016,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,43.20000076293945,36.15284729003906,-7.047153472900391,48.4540486571405,5.254047894201044,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,42.900001525878906,75.60308837890625,32.703086853027344,44.070850156405484,1.170848630526578,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,8.699999809265137,7.849085807800293,-0.8509140014648438,9.443464987559816,0.7434651782946791,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,59.400001525878906,63.37987518310547,3.9798736572265625,59.45913933765845,0.059137811779542915,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,33.29999923706055,23.096834182739258,-10.203165054321289,21.629777743661023,-11.670221493399524,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,53.29999923706055,53.591312408447266,0.29131317138671875,46.829118530708705,-6.470880706351842,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,26.899999618530273,48.24335479736328,21.343355178833008,63.79612078977588,36.8961211712456,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,50.099998474121094,45.02290725708008,-5.077091217041016,50.58628465812374,0.486286184002644,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,74.4000015258789,58.0875358581543,-16.31246566772461,51.92750096231307,-22.472500563565838,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,63.599998474121094,21.039674758911133,-42.56032371520996,35.323949810399455,-28.27604866372164,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,9.199999809265137,23.53375244140625,14.333752632141113,17.10127223684923,7.901272427584093,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,32.29999923706055,36.2392463684082,3.9392471313476562,51.310811989799596,19.01081275273905,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,68.9000015258789,52.71625900268555,-16.18374252319336,51.23617489976724,-17.663826626111664,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,12.300000190734863,11.178950309753418,-1.1210498809814453,8.600000381469727,-3.6999998092651367,11.3991771274633,18.86,324465.15625,227710.28125
