gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,49.400001525878906,48.48618698120117,-0.9138145446777344,30.61276046750317,-18.787241058375738,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,84.4000015258789,95.64662170410156,11.246620178222656,110.9381660531654,26.538164527286497,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,72.5999984741211,60.271583557128906,-12.328414916992188,103.22256639921294,30.622567925091843,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,123.0,151.30279541015625,28.30279541015625,157.41680754532607,34.416807545326066,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,141.5,150.79615783691406,9.296157836914062,105.68372905641229,-35.81627094358771,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,92.69999694824219,68.61395263671875,-24.086044311523438,92.230213400095,-0.46978354814719125,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,105.9000015258789,70.1861572265625,-35.713844299316406,84.7545573356125,-21.145444190266403,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,107.0,132.69300842285156,25.693008422851562,137.58513420522476,30.58513420522476,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,64.69999694824219,83.92251586914062,19.222518920898438,96.11800142528578,31.418004477043596,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,24.799999237060547,39.25593185424805,14.4559326171875,28.600000381469727,3.8000011444091797,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,40.0,44.36033248901367,4.360332489013672,31.72255833787428,-8.277441662125721,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,194.3000030517578,127.795654296875,-66.50434875488281,120.74504846646114,-73.55495458529667,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,74.30000305175781,68.03922271728516,-6.260780334472656,59.64163141398453,-14.658371637773286,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,39.20000076293945,43.93037796020508,4.730377197265625,45.88037170019307,6.68037093725362,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,94.9000015258789,71.41030883789062,-23.48969268798828,104.28031759509503,9.380316069216121,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,147.5,147.60110473632812,0.101104736328125,147.11495881259168,-0.3850411874083193,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,53.5,83.8302993774414,30.330299377441406,59.77143103419113,6.2714310341911315,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,73.9000015258789,86.34207916259766,12.44207763671875,76.71758371247684,2.8175821865979316,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,71.30000305175781,108.6921615600586,37.39215850830078,85.93977268286196,14.639769631104144,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,123.5999984741211,106.20027923583984,-17.39971923828125,120.09451597725815,-3.505482496862939,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,64.5,59.40699005126953,-5.093009948730469,76.04027048441203,11.540270484412034,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,28.600000381469727,36.61348342895508,8.013483047485352,34.589342265275675,5.989341883805949,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,127.80000305175781,181.4105224609375,53.61051940917969,135.79693888442944,7.996935832671625,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,120.19999694824219,165.87437438964844,45.67437744140625,103.75012760272197,-16.449869345520213,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,39.20000076293945,45.56873321533203,6.368732452392578,24.799999237060547,-14.400001525878906,11.3991771274633,18.86,324465.15625,227710.28125
