gh_id,obs,pred_gridpp,err_gridpp,pred_uk,err_uk,cont_pr,elev,px,py
RIAI99PA,114.80000305175781,74.98230743408203,-39.81769561767578,92.68963514840974,-22.110367903348077,5.05806007300982,6.32,521711.53125,414062.25
RIAL99MS,84.80000305175781,45.0905876159668,-39.709415435791016,90.7535761546864,5.953573102928587,42.3299115165594,197.76,682177.375,370388.0625
RIBA99PA,36.29999923706055,31.221229553222656,-5.078769683837891,49.09736811291859,12.79736887585804,20.808270621307,30.94,513696.03125,248306.28125
RIDAGDA,54.29999923706055,45.9105110168457,-8.389488220214844,56.559817217784364,2.259817980723817,44.6089780502326,187.13,721360.4375,223724.65625
RIDM99MS,37.0,49.21206283569336,12.21206283569336,34.480507219408274,-2.519492780591726,40.2345554092767,97.52,663771.0625,194691.140625
RIDO99MS,63.0,38.178306579589844,-24.821693420410156,72.02981769183445,9.029817691834452,26.4014831951799,41.32,458249.125,275283.5625
RIGASLU,78.5,38.236793518066406,-40.263206481933594,58.61974778567718,-19.880252214322823,4.43296769524904,2.75,506367.15625,312359.0625
RIGU99MS,44.29999923706055,78.90637969970703,34.606380462646484,82.01105245621793,37.71105321915738,42.1786455620948,141.32,664551.8125,335384.03125
RIJE99PA,31.399999618530273,42.321842193603516,10.921842575073242,62.954203237432196,31.554203618901923,3.7727864706312,7.34,497791.9375,268067.84375
RIKO99PA,134.0,114.46685028076172,-19.53314971923828,126.07629776257752,-7.923702237422475,3.6807807416504,3.58,415946.5,401419.8125
RILP99PA,99.19999694824219,110.49716186523438,11.297164916992188,106.7639350501737,7.563938101931512,2.87363895712746,3.26,316503.75,262976.28125
RIMADONA,98.5999984741211,53.59764862060547,-45.002349853515625,58.89065270032974,-39.709345773791355,37.2961234399292,131.39,636462.0,302730.875
RIME99MS,116.80000305175781,128.53164672851562,11.731643676757812,94.25284500124178,-22.547158050516032,4.32397115910191,4.97,446610.9375,354828.71875
RIPA99PA,150.5,95.78605651855469,-54.71394348144531,103.95172858160885,-46.54827141839115,5.68601965193325,8.2,328790.4375,308474.75
RIPR99PA,79.0,60.405643463134766,-18.594356536865234,86.13078264357668,7.13078264357668,39.0253918181656,122.07,580587.3125,353311.1875
RIREZEKN,49.29999923706055,55.10371017456055,5.8037109375,59.614950028098036,10.31495079103749,45.1158600928499,169.06,706729.375,264540.5625
RIRU99PA,96.0,115.95087432861328,19.95087432861328,98.59528200547331,2.595282005473308,30.012233602891,67.71,581338.8125,416897.25
RISA99PA,94.4000015258789,123.96416473388672,29.564163208007812,116.67729682521416,22.27729529933525,38.1622079313054,121.61,403690.96875,286226.15625
RISE99MS,49.900001525878906,99.42366790771484,49.52366638183594,80.68590707383244,30.785905547953533,6.35558440240894,7.68,524837.0625,350926.6875
RISI99PA,74.4000015258789,66.13677215576172,-8.263229370117188,53.99085068617839,-20.409150839700516,32.2237594837084,79.64,569199.0,278158.15625
RIST99PA,116.5999984741211,88.55306243896484,-28.04693603515625,116.19132086532235,-0.40867760879874027,31.9413254097329,79.97,412399.34375,338731.6875
RIVE99PA,99.5999984741211,128.197265625,28.597267150878906,150.5,50.900001525878906,1.46816869349303,2.33,352006.3125,364099.3125
RIZI99PA,62.70000076293945,95.80609130859375,33.1060905456543,52.89319821494276,-9.806802547996696,37.6519666305438,106.71,618013.25,265599.84375
RIZO99MS,93.9000015258789,96.97272491455078,3.072723388671875,82.95896823695625,-10.941033288922654,41.5944482681889,187.72,615333.875,334033.53125
RUCAVA,96.80000305175781,81.99937438964844,-14.800628662109375,83.01178329872599,-13.788219753031825,11.3991771274633,18.86,324465.15625,227710.28125
